case	kind	index	ah	av	lh	lv	rh	rv
src-key1+37	R	11	100	133.755274262	100	133.755274262	100	133.755274262
src-key1+37	R	12	100	175.949367089	100	175.949367089	100	175.949367089
src-key1+37	R	13	150	178.291139241	150	178.291139241	150	178.291139241
src-key1+37	R	14	210	181.101265823	210	181.101265823	210	181.101265823
src-key1+37	R	15	260	183.443037975	260	183.443037975	260	183.443037975
src-key1+37	R	16	330	186.721518987	330	186.721518987	330	186.721518987
src-key1+37	R	17	400	190	400	190	400	190
src-key1+37	R	18	400	250	400	250	400	250
src-key1+37	R	19	330	244.535864979	330	244.535864979	330	244.535864979
src-key1+37	R	20	260	239.071729958	260	239.071729958	260	239.071729958
src-key1+37	R	21	210	235.168776371	210	235.168776371	210	235.168776371
src-key1+37	R	22	150	230.485232068	150	230.485232068	150	230.485232068
src-key1+37	R	23	100	226.582278481	100	226.582278481	100	226.582278481
src-key1+37	R	24	100	268.776371308	100	268.776371308	100	268.776371308
src-key1+37	R	25	150	273.980309423	150	273.980309423	150	273.980309423
src-key1+37	R	26	210	280.225035162	210	280.225035162	210	280.225035162
src-key1+37	R	27	260	285.428973277	260	285.428973277	260	285.428973277
src-key1+37	R	28	330	292.714486639	330	292.714486639	330	292.714486639
src-key1+37	R	29	400	300	400	300	400	300
src-key1-37	R	0	100	100	100	100	100	100
src-key1-37	R	1	150	100	150	100	150	100
src-key1-37	R	2	210	100	210	100	210	100
src-key1-37	R	3	260	100	260	100	260	100
src-key1-37	R	4	330	100	330	100	330	100
src-key1-37	R	5	400	100	400	100	400	100
src-key1-37	R	6	400	140	400	140	400	140
src-key1-37	R	7	330	142.118609407	330	142.118609407	330	142.118609407
src-key1-37	R	8	260	144.237218814	260	144.237218814	260	144.237218814
src-key1-37	R	9	210	145.750511247	210	145.750511247	210	145.750511247
src-key1-37	R	10	150	147.566462168	150	147.566462168	150	147.566462168
src-key1-37	R	11	100	149.079754601	100	149.079754601	100	149.079754601
src-key1-37	R	12	100	210.429447853	100	210.429447853	100	210.429447853
src-key1-37	R	13	150	207.024539877	150	207.024539877	150	207.024539877
src-key1-37	R	14	210	202.938650307	210	202.938650307	210	202.938650307
src-key1-37	R	15	260	199.533742331	260	199.533742331	260	199.533742331
src-key1-37	R	16	330	194.766871166	330	194.766871166	330	194.766871166
src-key1-37	R	17	400	190	400	190	400	190
src-key1-37	R	18	400	250	400	250	400	250
src-key1-37	R	19	330	257.944785276	330	257.944785276	330	257.944785276
src-key1-37	R	20	260	265.889570552	260	265.889570552	260	265.889570552
src-key1-37	R	21	210	271.564417178	210	271.564417178	210	271.564417178
src-key1-37	R	22	150	278.374233129	150	278.374233129	150	278.374233129
src-key1-37	R	23	100	284.049079755	100	284.049079755	100	284.049079755
src-key1-37	R	24	100	345.398773006	100	345.398773006	100	345.398773006
src-key1-37	R	25	150	337.832310838	150	337.832310838	150	337.832310838
src-key1-37	R	26	210	328.752556237	210	328.752556237	210	328.752556237
src-key1-37	R	27	260	321.18609407	260	321.18609407	260	321.18609407
src-key1-37	R	28	330	310.593047035	330	310.593047035	330	310.593047035
src-key1-37	R	29	400	300	400	300	400	300
src-key2+37	R	0	100	100	100	100	100	100
src-key2+37	R	1	150	100	150	100	150	100
src-key2+37	R	2	210	100	210	100	210	100
src-key2+37	R	3	260	100	260	100	260	100
src-key2+37	R	4	330	100	330	100	330	100
src-key2+37	R	5	400	100	400	100	400	100
src-key2+37	R	6	393.412462908	140	393.412462908	140	393.412462908	140
src-key2+37	R	7	324.949554896	140	324.949554896	140	324.949554896	140
src-key2+37	R	8	256.486646884	140	256.486646884	140	256.486646884	140
src-key2+37	R	9	207.584569733	140	207.584569733	140	207.584569733	140
src-key2+37	R	10	148.902077151	140	148.902077151	140	148.902077151	140
src-key2+37	R	11	100	140	100	140	100	140
src-key2+37	R	12	100	190	100	190	100	190
src-key2+37	R	13	147.529673591	190	147.529673591	190	147.529673591	190
src-key2+37	R	14	204.565281899	190	204.565281899	190	204.565281899	190
src-key2+37	R	15	252.09495549	190	252.09495549	190	252.09495549	190
src-key2+37	R	16	318.636498516	190	318.636498516	190	318.636498516	190
src-key2+37	R	17	385.178041543	190	385.178041543	190	385.178041543	190
src-key2+37	R	18	375.296735905	250	375.296735905	250	375.296735905	250
src-key2+37	R	19	311.060830861	250	311.060830861	250	311.060830861	250
src-key2+37	R	20	246.824925816	250	246.824925816	250	246.824925816	250
src-key2+37	R	21	200.942136499	250	200.942136499	250	200.942136499	250
src-key2+37	R	22	145.882789318	250	145.882789318	250	145.882789318	250
src-key2+37	R	23	100	250	100	250	100	250
src-key2+37	R	24	100	300	100	300	100	300
src-key2+37	R	25	144.510385757	300	144.510385757	300	144.510385757	300
